Date,Price,Open,High,Low,Vol.,Change %
4/16/2025,539.63,542.6,543.25,539.4,1.82K,-0.53%
4/15/2025,542.5,542.38,551,540.25,63.56K,-0.91%
4/14/2025,547.5,553,555.25,542.75,78.61K,-1.48%
4/11/2025,555.75,537.5,556.75,536.5,123.04K,3.30%
4/10/2025,538,543.75,547.5,534.5,112.11K,-0.78%
4/9/2025,542.25,539.75,546,536.5,85.23K,0.42%
4/8/2025,540,537.5,545.75,533.75,92.72K,0.65%
4/7/2025,536.5,530.75,546.5,525.75,96.85K,1.42%
4/4/2025,529,536.75,539.5,520.5,82.63K,-1.31%
4/3/2025,536,526.75,542,525.25,80.92K,-0.60%
4/2/2025,539.25,541.75,543,532.5,58.99K,-0.23%
4/1/2025,540.5,539,544,533.25,62.41K,0.65%
3/31/2025,537,529.5,539.25,523.5,83.02K,1.66%
3/28/2025,528.25,531.75,533,517.5,81.82K,-0.70%
3/27/2025,532,536.25,537.25,526.5,73.56K,-0.61%
3/26/2025,535.25,544,545.75,535,57.62K,-1.47%
3/25/2025,543.25,548,549.5,541,57.05K,-0.91%
3/24/2025,548.25,561.25,563,545.25,53.65K,-1.79%
3/21/2025,558.25,557.75,563,553.25,47.01K,0.18%
3/20/2025,557.25,565.25,568,552.25,62.33K,-1.11%
3/19/2025,563.5,564.25,568.5,558,62.18K,-0.27%
3/18/2025,565,568.75,574.75,563.5,64.45K,-0.62%
3/17/2025,568.5,559,575.25,559,78.72K,4.17%
3/14/2025,545.75,545.75,545.75,545.75,0.01K,-0.27%
3/13/2025,547.25,549,551.25,549,0.02K,1.58%
3/12/2025,538.75,534,534,534,0.00K,-0.42%
3/11/2025,541,543.75,544,542.5,0.02K,-0.78%
3/10/2025,545.25,548.25,548.25,545,0.01K,-1.09%
3/7/2025,551.25,554,555.5,544.5,62.47K,-0.50%
3/6/2025,554,550.25,562,544.75,84.19K,1.05%
3/5/2025,548.25,539,551,537,84.23K,2.14%
3/4/2025,536.75,547.75,551.75,530,112.38K,-2.01%
3/3/2025,547.75,557.5,563.5,545.25,89.70K,-1.44%
2/28/2025,555.75,563,570.25,555,74.06K,-1.20%
2/27/2025,562.5,579.25,580.25,560,87.52K,-2.98%
2/26/2025,579.75,588.75,592.75,577.5,75.49K,-1.36%
2/25/2025,587.75,593.75,595.75,579.5,84.45K,-0.97%
2/24/2025,593.5,603.75,604,589.25,73.40K,-1.74%
2/21/2025,604,600,608,599.75,60.21K,0.62%
2/20/2025,600.25,607,609.75,598.25,56.78K,-1.03%
2/19/2025,606.5,617.75,621.25,603.5,77.01K,-1.82%
2/18/2025,617.75,612,621.75,606.5,95.07K,2.96%
2/14/2025,600,577.25,602.75,577.25,103.50K,3.85%
2/13/2025,577.75,574,581,571.5,91.31K,0.61%
2/12/2025,574.25,576.25,584.5,572.75,113.05K,-0.48%
2/11/2025,577,579,588,575.75,110.23K,-0.43%
2/10/2025,579.5,581.25,586,576.25,105.43K,-0.56%
2/7/2025,582.75,587.75,592.5,579.75,106.33K,-0.85%
2/6/2025,587.75,572.25,588.75,566.5,109.41K,2.71%
2/5/2025,572.25,577.25,584.25,569.5,108.67K,-0.82%
2/4/2025,577,566.5,579,558,89.54K,1.81%
2/3/2025,566.75,555,573.75,550.5,90.75K,1.30%
1/31/2025,559.5,569,569,551.75,87.92K,-1.24%
1/30/2025,566.5,560.75,569.75,559,96.80K,0.71%
1/29/2025,562.5,544.5,564.75,544.5,90.60K,3.16%
1/28/2025,545.25,535.75,548.5,533.5,77.12K,1.82%
1/27/2025,535.5,543,543,532,68.35K,-1.56%
1/24/2025,544,550,552.25,541.25,81.68K,-1.81%
1/23/2025,554,554,559,548,64.14K,0.00%
1/22/2025,554,558.5,566.75,551.5,91.51K,-0.85%
1/21/2025,558.75,542,561.75,542,112.88K,3.71%
1/17/2025,538.75,537.5,542,533.25,50.29K,0.23%
1/16/2025,537.5,547,547,536.75,52.99K,-1.74%
1/15/2025,547,546.75,551.5,542,56.05K,0.14%
1/14/2025,546.25,546.25,552.25,542.75,70.10K,0.23%
1/13/2025,545,530.5,545.75,528.5,84.28K,2.68%
1/10/2025,530.75,533,541.25,526,104.60K,-0.61%
1/9/2025,534,535.5,539.25,529.25,45.71K,-0.42%
1/8/2025,536.25,542.75,544.75,534.5,58.10K,-1.15%
1/7/2025,542.5,540.5,544.25,535.25,46.90K,0.37%
1/6/2025,540.5,530.25,543.75,530.25,64.94K,2.13%
1/3/2025,529.25,545.5,547,527.5,87.54K,-3.02%
1/2/2025,545.75,551.75,552.75,542.5,44.33K,-1.04%
12/31/2024,551.5,548.75,552.75,546.75,33.83K,0.59%
12/30/2024,548.25,547.25,554.75,544.5,46.87K,0.32%
12/27/2024,546.5,542,547.75,537.25,43.05K,1.02%
12/26/2024,541,534.75,544,533.75,28.46K,1.17%
12/24/2024,534.75,539.5,541.5,533.5,25.22K,-1.06%
12/23/2024,540.5,533,544,533,57.51K,1.41%
12/20/2024,533,532.5,537.25,529.25,55.08K,0.00%
12/19/2024,533,541,541.75,530.5,87.29K,-1.52%
12/18/2024,541.25,545,554.25,540,63.25K,-0.69%
12/17/2024,545,550.75,552.5,542.5,72.66K,-0.91%
12/16/2024,550,552.25,559.25,548.5,68.01K,4.46%
12/13/2024,526.5,526.5,526.5,526.5,0.01K,-2.27%
12/12/2024,538.75,535,538.25,533.25,0.02K,-0.87%
12/11/2024,543.5,544,552.5,544,0.06K,0.28%
12/10/2024,542,545,545,545,0.00K,0.14%
12/9/2024,541.25,541.25,541.25,541.25,0.01K,-0.23%
12/6/2024,542.5,544.75,546,544.75,0.03K,-0.78%
12/5/2024,546.75,537.5,537.5,535.5,0.02K,1.63%
12/4/2024,538,537.25,541,535.75,0.04K,0.23%
12/3/2024,536.75,539,544.75,539,0.05K,-0.14%
12/2/2024,537.5,536.25,539.5,531.25,0.06K,0.99%
11/29/2024,532.25,535,545.25,531.75,1.25K,-1.02%
11/27/2024,537.75,538.25,542.75,531,18.86K,-0.32%
11/26/2024,539.5,535.75,543.5,532.75,34.12K,0.70%
11/25/2024,535.75,544.75,547.5,529.5,30.01K,-1.56%
11/22/2024,544.25,548,550.5,542.5,36.56K,-0.82%
11/21/2024,548.75,552.5,557.5,547.75,34.97K,-0.68%
11/20/2024,552.5,549.5,555.25,543.5,41.28K,0.50%
11/19/2024,549.75,547.75,558.75,545.5,57.49K,0.46%
11/18/2024,547.25,541,551,536.75,68.14K,2.00%
11/15/2024,536.5,532,541.25,530.5,73.59K,1.18%
11/14/2024,530.25,540,544.25,528,89.91K,-1.99%
11/13/2024,541,553.25,553.75,536.25,113.24K,-2.04%
11/12/2024,552.25,564.75,568.75,549,105.73K,-2.34%
11/11/2024,565.5,572.75,572.75,551.75,125.71K,-1.22%
11/8/2024,572.5,572.5,578.75,566.5,112.15K,0.17%
11/7/2024,571.5,574.5,579.5,565,105.86K,-0.31%
11/6/2024,573.25,571,577.75,562,67.95K,0.13%
11/5/2024,572.5,569.5,574.5,565.25,58.64K,0.66%
11/4/2024,568.75,569,575.75,565,55.48K,0.13%
11/1/2024,568,571.5,577.75,564.25,54.16K,-0.44%
10/31/2024,570.5,572.75,573.75,563.5,61.59K,-0.48%
10/30/2024,573.25,571.25,580.5,564,68.18K,0.48%
10/29/2024,570.5,559,572.75,558,67.42K,2.10%
10/28/2024,558.75,564.25,571.5,557.75,61.30K,-1.80%
10/25/2024,569,581.25,585.5,566,75.99K,-2.15%
10/24/2024,581.5,579,584.25,575,49.88K,0.52%
10/23/2024,578.5,575.75,582.75,566.25,57.25K,0.43%
10/22/2024,576,574,578.75,565.75,49.87K,0.66%
10/21/2024,572.25,572.75,584.25,570.75,74.09K,-0.09%
10/18/2024,572.75,590,595.5,570.25,82.03K,-2.84%
10/17/2024,589.5,584.25,591.75,576.25,75.30K,0.77%
10/16/2024,585,581.25,587.5,575.25,57.51K,0.95%
10/15/2024,579.5,585.5,586.75,578,69.76K,-0.98%
10/14/2024,585.25,598.5,601,584.25,55.97K,-2.30%
10/11/2024,599,603.75,611.25,592.5,75.59K,-0.79%
10/10/2024,603.75,600.75,609.25,598.5,60.99K,0.79%
10/9/2024,599,594.75,604.75,594.25,55.19K,0.71%
10/8/2024,594.75,593.75,599,587.5,59.04K,0.38%
10/7/2024,592.5,590.25,595.25,584,55.58K,0.47%
10/4/2024,589.75,603.75,604.25,587,76.33K,-2.28%
10/3/2024,603.5,614.25,617.25,601.25,78.99K,-1.91%
10/2/2024,615.25,596.25,617.25,596.25,116.43K,2.71%
10/1/2024,599,584,602.5,577,84.58K,2.57%
9/30/2024,584,579.75,590.75,575.5,58.87K,0.69%
9/27/2024,580,583,583.5,575.5,46.19K,-0.73%
9/26/2024,584.25,590.5,596.25,582.75,69.06K,-0.85%
9/25/2024,589.25,579,591.25,573.75,52.96K,1.95%
9/24/2024,578,581.25,589.25,575.25,52.27K,-0.77%
9/23/2024,582.5,570.5,586.5,569,63.33K,2.46%
