Date,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Price,Open,High,Low,Vol,Change_%
4/16/15,59422,62.3,28.5,44.8,62.3,19.4,41,20.9,43.6,0,0,0,,0,2.2,15.4,14.6,216.3,1025.4,1.4,9.9,296.3,25.8,9,,2015-04-16T06:38:35.000-04:00,2015-04-16T20:20:46.000-04:00,0.93,Clear,Clear conditions throughout the day.,clear-day,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",494.5,490,495.5,489,69.50K,0.76%
4/17/15,59422,67.1,35.4,50.9,67.1,29.6,48.5,24.2,38.3,0,0,0,,0,2.2,17.7,12.8,257.9,1021.6,0,9.9,293.3,25.3,9,,2015-04-17T06:36:41.000-04:00,2015-04-17T20:22:12.000-04:00,0.96,Clear,Clear conditions throughout the day.,clear-day,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",494.5,494.25,499.75,490.75,45.43K,0.00%
4/18/15,59422,45.5,32.9,40.2,41.4,19.4,33.7,29.2,66.1,0.085,100,20.83,"rain,snow",0,2.2,33.3,27.2,354.2,1024.9,47.7,9.1,173.2,14.9,5,,2015-04-18T06:34:49.000-04:00,2015-04-18T20:23:37.000-04:00,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",,,,,,
4/19/15,59422,49,33.6,41.3,47.8,29.7,38.9,25.1,55.3,0,0,0,,0,2.1,15.7,7.6,58.7,1025.6,45.7,9.9,249.8,21.8,8,,2015-04-19T06:32:57.000-04:00,2015-04-19T20:25:03.000-04:00,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",,,,,,
4/20/15,59422,62.4,29.6,46.6,62.4,22.7,44.5,23.8,45.4,0,0,0,,0,2,18.6,8.4,271,1016.2,12.6,9.9,261.6,22.6,8,,2015-04-20T06:31:06.000-04:00,2015-04-20T20:26:28.000-04:00,0.06,Clear,Clear conditions throughout the day.,clear-day,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",498.75,495,499.25,492,50.20K,0.86%
4/21/15,59422,65.3,34,50.9,65.3,28.1,49.3,26.5,42,0,0,0,,0,1.9,15.7,11.4,82.4,1012.3,2.4,9.9,289.8,25,9,,2015-04-21T06:29:16.000-04:00,2015-04-21T20:27:53.000-04:00,0.1,Clear,Clear conditions throughout the day.,clear-day,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",500.75,498.5,506.5,494.25,44.52K,0.40%
4/22/15,59422,69.1,40.7,54.4,69.1,34.8,52.8,29.2,41.8,0,0,0,,0,1.8,24.8,13.1,274.8,1008.7,27.9,9.9,254.6,21.7,9,,2015-04-22T06:27:27.000-04:00,2015-04-22T20:29:19.000-04:00,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",498.75,500.25,504.75,496.25,25.14K,-0.40%
4/23/15,59422,59.9,34.2,48.4,59.9,27,45.4,21.9,38.3,0,0,0,,0,1.6,21,16.6,274.6,1008.3,12.3,9.9,306.9,26.4,9,,2015-04-23T06:25:39.000-04:00,2015-04-23T20:30:44.000-04:00,0.16,Clear,Clear conditions throughout the day.,clear-day,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",497.75,499.5,503.5,497.5,31.26K,-0.20%
4/24/15,59422,52.7,41.8,46.6,52.7,38,44.2,30.2,53.2,0.006,100,16.67,rain,0,1.6,15,11.2,137.7,1005.5,83.9,9.9,125.9,11,4,,2015-04-24T06:23:52.000-04:00,2015-04-24T20:32:09.000-04:00,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",486,498.25,499.5,485,29.52K,-2.36%
4/25/15,59422,50.5,34.2,41.4,50.5,26.5,36.7,28.6,64.4,0.043,100,12.5,"rain,snow",0.1,1.7,17.4,11.6,15.6,1011.9,63.7,9.7,233.8,20.2,7,,2015-04-25T06:22:06.000-04:00,2015-04-25T20:33:34.000-04:00,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",,,,,,
4/26/15,59422,40.2,28.7,33.2,37,19.2,26.3,28.2,82.1,0.022,100,25,"rain,snow",0,1.7,17.9,14.1,9.2,1024.3,68.3,8,160.8,14,4,,2015-04-26T06:20:22.000-04:00,2015-04-26T20:34:59.000-04:00,0.26,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",,,,,,
4/27/15,59422,61.2,27.8,45.8,61.2,23.1,44,25.9,52.7,0,0,0,,0,1.4,14.3,11.8,239,1026.8,0.6,9.9,315.1,27.5,9,,2015-04-27T06:18:38.000-04:00,2015-04-27T20:36:24.000-04:00,0.29,Clear,Clear conditions throughout the day.,clear-day,"72099999999,72100299999,72100499999,72100199999,remote",470.25,486.5,488,469.5,19.32K,-3.24%
4/28/15,59422,75,38.2,56.3,75,34.6,54.9,27.5,38.3,0,0,0,,0,1.4,13.9,13.9,179.7,1019.7,0.8,9.9,317.9,27.5,9,,2015-04-28T06:16:55.000-04:00,2015-04-28T20:37:48.000-04:00,0.32,Clear,Clear conditions throughout the day.,clear-day,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",471.5,472,474,460,17.46K,0.27%
4/29/15,59422,70.5,47.6,58.5,70.5,43.6,57.3,28.6,33.1,0,0,0,,0,1.4,29.8,21.7,267.9,1012.1,13.1,9.9,285.8,24.8,8,,2015-04-29T06:15:14.000-04:00,2015-04-29T20:39:13.000-04:00,0.36,Clear,Clear conditions throughout the day.,clear-day,"72,099,999,999,721,000,000,000,000,000,000,000,000,000,000",477.25,472,478.25,469,13.22K,1.22%
